year,industry_code,classification,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,% Cov
2005,42,NAICS,4027.602154766668,238.92690091666654,262.77642162499984,0.05932236835360527,0.06524388492107391
2005,51,NAICS,3118.131947649989,444.7078133250003,474.78572405833336,0.14261995255947113,0.15226608514785767
2005,52,NAICS,6445.237725024964,137.78240129166662,174.4902874333333,0.02137739583849907,0.02707274630665779
2005,53,NAICS,2399.494531408334,115.78213209999996,130.43348157499994,0.04825271666049957,0.05435873195528984
2005,54,NAICS,6681.670800816664,119.77063548333338,149.1922051166667,0.01792525313794613,0.022328577935695648
2005,55,NAICS,4655.7009378666635,241.05646514166665,275.26000416666676,0.051776621490716934,0.059123214334249496
2005,61,NAICS,11958.258784316695,4067.223087308329,4576.525915299996,0.3401183485984802,0.3827084004878998
2005,62,NAICS,15702.477872991616,1423.054368616666,1606.585643508334,9.06261024614676,10.23141479009293
2005,71,NAICS,2252.673293941663,181.08142646666667,204.20730748333332,0.08038512617349625,0.09065109491348267
2005,72,NAICS,8849.28319933335,221.31064065,252.2311326416666,0.025008877739310265,0.028503000736236572
2005,81,NAICS,5628.303793750014,189.25528672499996,202.15759617499998,0.033625636249780655,0.03591803088784218
2005,92,NAICS,6578.174706425046,2095.6390491583334,2304.881828166662,0.31857454776763916,0.3503831923007965
2005,31-33,NAICS,15596.473118025011,2033.955937849998,2148.400058641665,13.041127455279188,13.774909509244985
2005,44-45,NAICS,15072.982715183303,798.8781227000005,883.0469955333335,0.053000666201114655,0.058584753423929214
2005,48-49,NAICS,5552.002114108334,1745.7909792666703,1839.815626691672,0.3144434988498688,0.3313787579536438
2006,11,NAICS,1111.9610561666661,32.77293649166667,35.891695233333344,0.02947309799492359,0.03227783367037773
2006,21,NAICS,633.712125783334,47.654124283333324,55.75744472499999,0.07519838213920593,0.08798544853925705
2006,22,NAICS,10059.016868600049,1608.7858476166691,1684.343821758336,0.15993469953536987,0.16744616627693176
2006,23,NAICS,8877.175566883374,1246.5213527000008,1307.3642658916665,0.14041869342327118,0.14727254211902618
2006,42,NAICS,4111.638779466673,202.0786902666668,215.64328953333347,0.049147967249155045,0.052447039633989334
2006,51,NAICS,3312.247264374998,411.1731589833334,447.39726418333356,0.12413721531629562,0.13507363200187683
2006,52,NAICS,6661.224599641675,143.60751264166663,179.814610175,0.021558726206421852,0.02699422650039196
2006,53,NAICS,2436.4835938416636,102.26521619166667,108.92488199166667,0.041972462087869644,0.04470577463507652
2006,54,NAICS,6829.515088100008,117.2344029,150.85337223333326,0.01716584526002407,0.022088445723056793
2006,55,NAICS,4968.147019725008,227.39828424166654,261.56628417499996,0.04577124863862991,0.05264865979552269
2006,61,NAICS,12194.346170891615,4072.317485883332,4583.153936325004,0.33395126461982727,0.37584254145622253
2006,62,NAICS,16012.150147224978,1440.9025804916655,1612.070580474999,8.998807575766984,10.067795802891483
2006,71,NAICS,2140.38723919167,169.5239414583332,188.86188029999985,0.07920246571302414,0.08823724836111069
2006,72,NAICS,8927.034707508337,222.69767885000005,254.49133604166664,0.024946434423327446,0.028507936745882034
2006,81,NAICS,5728.043366066673,186.42583724999992,208.02671187499985,0.032546162605285645,0.036317236721515656
2006,92,NAICS,6514.829587000002,2039.7895331083332,2243.421325874998,0.3130994439125061,0.34435608983039856
2006,31-33,NAICS,15725.136899858317,1850.4377829249975,1975.709749466664,11.767387430132134,12.56402257130407
2006,44-45,NAICS,15237.790521758234,765.4664678833328,823.219149791666,0.05023474246263504,0.054024837911129
2006,48-49,NAICS,5633.515902574997,1718.5712157749972,1831.0328251999956,0.305061936378479,0.32502487301826477
2007,11,NAICS,1096.8122700000013,25.085606666666667,30.31607849166666,0.02287137694656849,0.027640171349048615
2007,21,NAICS,712.4453428499991,67.70935893333333,73.87726611666665,0.09503796696662903,0.103695347905159
2007,22,NAICS,10173.878452158313,1705.3156932999989,1767.9967414916646,0.167617067694664,0.17377804219722748
2007,23,NAICS,9002.46367363335,1358.560447083332,1406.171706608331,0.15090985596179962,0.15619854629039764
2007,42,NAICS,3963.340563016675,204.79564248333332,223.5270021166666,0.05167248100042343,0.05639863759279251
2007,51,NAICS,3414.4404778833427,432.0100857333329,468.32763335833306,0.126524418592453,0.13716086745262146
2007,52,NAICS,6670.213357716647,132.99070494166668,169.48865459166674,0.019937999546527863,0.02540978044271469
2007,53,NAICS,2422.095905816668,95.54372126666665,110.49316920833333,0.03944671154022217,0.045618824660778046
2007,54,NAICS,7183.980820166697,121.44087705833333,172.42397275000008,0.016904398798942566,0.024001173675060272
2007,55,NAICS,5233.123163449998,241.795792225,266.6826469583333,0.04620487242937088,0.050960514694452286
2007,61,NAICS,12581.560190233338,4203.496122449995,4724.787168383329,0.33409973978996277,0.37553268671035767
