year,industry_code,code_source,inspection_count,violation_count,accident_count,avg_penalty,avg_gravity,avg_injury_degree
2009,31-33,NAICS,20514,76870.0,815.0,1467.673970043797,3.4145082216148204,1.894478527607362
2009,42,NAICS,3189,10368.0,160.0,995.9626550620247,3.2383151671900983,1.56875
2009,44-45,NAICS,4520,10652.0,171.0,830.0274988032552,2.8092192912336795,1.8304093567251463
2009,48-49,NAICS,3631,7713.0,247.0,1231.3290022421525,3.056810403832991,1.5060728744939271
2009,51,NAICS,534,844.0,36.0,1039.4903846153845,3.108216432865732,2.111111111111111
2009,52,NAICS,153,191.0,4.0,1279.8958333333333,2.9891304347826084,1.75
2009,53,NAICS,803,1772.0,49.0,888.0557432432432,3.5587828492392806,1.6938775510204083
2009,54,NAICS,852,1470.0,61.0,1021.184811827957,3.953216374269006,1.6721311475409837
2009,55,NAICS,15,18.0,0.0,3702.0,,
2009,56,NAICS,4390,8770.0,314.0,1001.743202782788,3.996277915632754,1.5636942675159236
2009,61,NAICS,1530,3317.0,82.0,1102.7429054054055,2.5066666666666673,1.9268292682926829
2009,62,NAICS,2610,5752.0,71.0,844.1450828729282,2.400238000793336,1.8591549295774648
2009,71,NAICS,726,2356.0,70.0,878.0652080344332,2.8503253796095445,1.5857142857142856
2009,72,NAICS,2116,5196.0,67.0,692.9962335216572,3.184010152284264,1.835820895522388
2009,81,NAICS,2953,9843.0,110.0,623.3378398552363,2.920268691588785,1.5818181818181818
2009,92,NAICS,4024,8560.0,117.0,704.6412429378531,2.485796822339913,1.8632478632478633
2010,11,NAICS,2593,4605.0,300.0,904.3232905982906,3.7157221206581355,1.71
2010,21,NAICS,1028,1646.0,97.0,1742.6424324324325,4.092844974446337,1.5463917525773196
2010,22,NAICS,1399,2523.0,68.0,2214.5830804248862,4.69377990430622,1.6470588235294117
2010,23,NAICS,51581,99927.0,1210.0,1296.9292578295813,5.016060654290799,1.6413223140495867
2010,31-33,NAICS,20223,74845.0,931.0,1347.6637393345673,3.7052063230479,1.9591836734693877
2010,42,NAICS,3254,10973.0,179.0,1628.1272026431716,3.5722350897510133,1.6983240223463687
2010,44-45,NAICS,4161,10116.0,156.0,1047.8421070384527,2.9521941652365777,1.8205128205128205
2010,48-49,NAICS,3803,8566.0,241.0,1655.581013916501,3.409782399383786,1.4564315352697095
2010,51,NAICS,551,882.0,54.0,1360.1358531317494,3.7828810020876826,1.8148148148148149
2010,52,NAICS,163,117.0,6.0,908.4449152542373,2.0408163265306123,1.6666666666666667
