INDUSTRY_CODE,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN,YEAR,INDUSTRY_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,EMP_PRSE,PCT_TOTAL,PCT_RPT,MEAN_PRSE,H_PCT10,H_PCT25,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_PCT75,A_PCT90,ANNUAL,HOURLY,year,OWNERSHIP
21,494280.0,21.127077769685197,43945.42789512018,18.15735514283402,37764.58019745893,2002,,,,,,,,,,,,,,,,,,,,
22,585930.0,25.56904869182325,53179.13453825542,24.527917669346166,51013.3492055365,2002,,,,,,,,,,,,,,,,,,,,
23,6860500.0,18.92119373223526,39357.751038554044,16.359835259820713,34026.582843816046,2002,,,,,,,,,,,,,,,,,,,,
31-33,14950040.0,17.760143364164907,36939.95726432839,15.115463236218766,31438.600692707176,2002,,,,,,,,,,,,,,,,,,,,
42,5609180.0,19.70708465408491,40988.57972110005,15.306878812945921,31834.63326190281,2002,,,,,,,,,,,,,,,,,,,,
44-45,15017310.0,12.153686472477428,25280.506315711667,9.778163179690637,20336.046355838695,2002,,,,,,,,,,,,,,,,,,,,
48-49,4265970.0,17.64188261989653,36694.97567962269,15.543673959263664,32330.673797518502,2002,,,,,,,,,,,,,,,,,,,,
51,3298000.0,22.59526600970285,46996.80882352941,19.02170576106731,39566.14845360825,2002,,,,,,,,,,,,,,,,,,,,
52,5693550.0,22.122805174276156,46012.243977834565,16.557219450079476,34442.80768589018,2002,,,,,,,,,,,,,,,,,,,,
53,2035420.0,15.2449773019819,31710.751785872202,11.774836839571194,24494.26221615195,2002,,,,,,,,,,,,,,,,,,,,
54,6643590.0,26.357123437779872,54824.21169879538,20.88077236855375,43427.9827171755,2002,,,,,,,,,,,,,,,,,,,,
55,1686730.0,25.11,52230.0,19.58,40740.0,2002,,,,,,,,,,,,,,,,,,,,
56,7769500.0,12.671681382328336,26358.181131346933,10.127680185340113,21062.430014801466,2002,,,,,,,,,,,,,,,,,,,,
61,11731340.0,18.776226986857427,39061.38455623995,16.678180173790885,34692.89159635643,2002,,,,,,,,,,,,,,,,,,,,
62,14542990.0,17.536401008320848,36474.62290766892,13.744527817182021,28591.362078912247,2002,,,,,,,,,,,,,,,,,,,,
71,1777770.0,12.617988153698173,26248.29398628619,9.463745422636224,19692.983738053856,2002,,,,,,,,,,,,,,,,,,,,
72,10226640.0,8.869590422660815,18444.451745636885,7.502254034560715,15604.316539938827,2002,,,,,,,,,,,,,,,,,,,,
81,3790880.0,13.696332592959946,28487.792834381464,11.26932216266408,23443.402428987465,2002,,,,,,,,,,,,,,,,,,,,
92,10146130.0,19.625074289408868,40812.70341499666,17.47607374437347,36349.20143936654,2002,,,,,,,,,,,,,,,,,,,,
11,404040.0,12.6,26200.0,9.43,19610.0,2013,"Agriculture, Forestry, Fishing and Hunting",00-0000,Industry Total,total,0.9,100,100,0.8,8.35,8.76,13.67,20.6,17370.0,18230.0,28430.0,42840.0,,,,
21,807130.0,29.66,61690.0,23.07,47990.0,2013,"Mining, Quarrying, and Oil and Gas Extraction",00-0000,Industry Total,total,0.8,100,100,1.2,12.92,16.82,33.79,54.11,26880.0,34980.0,70290.0,112550.0,,,,
22,544310.0,33.02,68680.0,31.75,66030.0,2013,Utilities,00-0000,Industry Total,total,1,100,100,0.7,15.7,22.61,41.02,51.87,32660.0,47030.0,85320.0,107880.0,,,,
23,5797170.0,23.82,49540.0,20.11,41830.0,2013,Construction,00-0000,Industry Total,total,0.2,100,100,0.2,11.32,14.73,29.3,40.77,23540.0,30640.0,60940.0,84810.0,,,,
31-33,11983290.0,23.0,47830.0,18.12,37690.0,2013,Manufacturing,00-0000,Industry Total,total,0.3,100,100,0.4,10.06,13.08,27.35,42.22,20930.0,27200.0,56890.0,87820.0,,,,
42,5701640.0,25.42,52870.0,19.08,39690.0,2013,Wholesale Trade,00-0000,Industry Total,total,0.2,100,100,0.3,9.99,13.3,29.98,47.86,20780.0,27660.0,62350.0,99560.0,,,,
44-45,15195950.0,14.47,30100.0,11.05,22980.0,2013,Retail Trade,00-0000,Industry Total,total,0.1,100,100,0.2,8.17,8.97,15.87,23.49,17000.0,18660.0,33020.0,48860.0,,,,
48-49,5081510.0,21.72,45170.0,19.29,40110.0,2013,Transportation and Warehousing,00-0000,Industry Total,total,0.6,100,100,0.4,10.45,13.84,26.45,34.12,21730.0,28790.0,55020.0,70970.0,,,,
51,2700210.0,31.72,65980.0,26.12,54320.0,2013,Information,00-0000,Industry Total,total,0.7,100,100,1.5,10.36,15.75,40.8,59.47,21550.0,32760.0,84860.0,123690.0,,,,
52,5586790.0,30.43,63300.0,22.3,46390.0,2013,Finance and Insurance,00-0000,Industry Total,total,0.4,100,100,0.4,11.69,15.24,36.4,58.11,24320.0,31700.0,75700.0,120870.0,,,,
53,1966480.0,20.34,42320.0,15.83,32940.0,2013,Real Estate and Rental and Leasing,00-0000,Industry Total,total,0.3,100,100,0.4,9.03,11.32,22.86,35.38,18780.0,23540.0,47550.0,73580.0,,,,
54,8018890.0,35.67,74190.0,29.0,60310.0,2013,"Professional, Scientific, and Technical Services",00-0000,Industry Total,total,0.2,100,100,0.2,12.31,18.04,45.3,67.76,25610.0,37530.0,94220.0,140940.0,,,,
55,2130720.0,36.02,74930.0,29.08,60480.0,2013,Management of Companies and Enterprises,00-0000,Industry Total,total,0.6,100,100,0.5,13.18,18.64,45.33,67.54,27410.0,38770.0,94290.0,140480.0,,,,
56,8285760.0,16.98,35320.0,12.96,26960.0,2013,Administrative and Support and Waste Management and Remediation Services,00-0000,Industry Total,total,0.3,100,100,0.3,8.49,9.71,18.92,29.68,17660.0,20200.0,39360.0,61730.0,,,,
61,12706550.0,24.33,50600.0,21.22,44140.0,2013,Educational Services,00-0000,Industry Total,total,0.4,100,100,0.4,9.73,14.0,30.43,42.29,20240.0,29120.0,63300.0,87970.0,,,,
